iter	Passed	Remaining
0	28	28706
1	35	17669
2	42	13989
3	44	11197
4	49	9804
5	53	8897
6	58	8239
7	63	7900
8	69	7685
9	76	7539
10	83	7543
11	90	7438
12	96	7310
13	102	7224
14	108	7153
15	115	7110
16	120	6967
17	125	6844
18	132	6847
19	137	6741
20	143	6696
21	168	7490
22	175	7460
23	183	7474
24	188	7336
25	192	7197
26	196	7092
27	202	7017
28	206	6903
29	211	6850
30	218	6841
31	225	6814
32	229	6725
33	235	6696
34	239	6608
35	245	6573
36	251	6557
37	258	6532
38	263	6498
39	267	6424
40	272	6384
41	280	6397
42	286	6382
43	293	6379
44	298	6333
45	322	6691
46	333	6763
47	339	6723
48	342	6653
49	348	6618
50	351	6545
51	355	6482
52	361	6450
53	366	6419
54	370	6362
55	376	6352
56	382	6320
57	387	6298
58	393	6268
59	396	6208
60	399	6156
61	405	6140
62	410	6107
63	416	6084
64	420	6054
65	424	6002
66	427	5947
67	432	5926
68	435	5874
69	441	5870
70	447	5855
71	453	5847
72	457	5811
73	463	5794
74	470	5798
75	490	5969
76	497	5960
77	503	5955
78	508	5926
79	512	5898
80	516	5855
81	522	5846
82	525	5801
83	530	5782
84	536	5775
85	541	5756
86	546	5735
87	551	5718
88	557	5703
89	561	5675
90	567	5671
91	573	5656
92	578	5641
93	584	5633
94	589	5612
95	594	5600
96	598	5570
97	604	5559
98	609	5545
99	615	5536
100	621	5528
101	648	5712
102	653	5689
103	657	5665
104	663	5658
105	669	5648
106	675	5635
107	681	5627
108	684	5599
109	690	5586
110	696	5575
111	699	5545
112	704	5531
113	710	5521
114	715	5509
115	721	5498
116	728	5496
117	733	5482
118	738	5469
119	742	5444
120	747	5427
121	751	5408
122	756	5393
123	762	5386
124	768	5376
125	773	5365
126	777	5346
127	782	5333
128	788	5326
129	815	5456
130	820	5445
131	827	5441
132	832	5430
133	836	5408
134	842	5400
135	848	5389
136	853	5377
137	860	5373
138	866	5365
139	872	5358
140	876	5337
141	881	5326
142	886	5315
143	893	5311
144	897	5291
145	903	5285
146	909	5275
147	912	5254
148	918	5243
149	924	5240
150	930	5230
151	936	5224
152	960	5314
153	966	5308
154	970	5289
155	975	5276
156	978	5253
157	984	5247
158	990	5240
159	996	5230
160	1002	5223
161	1007	5212
162	1012	5200
163	1016	5180
164	1022	5172
165	1027	5161
166	1033	5154
167	1038	5144
168	1044	5134
169	1048	5119
170	1052	5103
171	1058	5095
172	1064	5086
173	1069	5078
174	1075	5068
175	1080	5061
176	1086	5052
177	1111	5131
178	1120	5138
179	1125	5129
180	1131	5120
181	1136	5110
182	1142	5099
183	1148	5094
184	1154	5084
185	1159	5074
186	1165	5065
187	1170	5055
188	1176	5046
189	1182	5042
190	1188	5032
191	1194	5025
192	1199	5016
193	1205	5006
194	1211	5000
195	1217	4992
196	1222	4984
197	1230	4984
198	1236	4975
199	1241	4964
200	1247	4959
201	1253	4951
202	1278	5020
203	1284	5010
204	1289	5000
205	1295	4993
206	1302	4991
207	1310	4989
208	1316	4982
209	1323	4977
210	1329	4970
211	1333	4955
212	1340	4951
213	1346	4945
214	1352	4937
215	1359	4935
216	1366	4929
217	1373	4927
218	1379	4921
219	1385	4913
220	1392	4909
221	1396	4893
222	1400	4879
223	1404	4865
224	1408	4852
225	1417	4853
226	1429	4867
227	1439	4873
228	1446	4869
229	1451	4858
230	1457	4852
231	1461	4837
232	1464	4822
233	1469	4810
234	1475	4804
235	1480	4791
236	1485	4780
237	1491	4774
238	1497	4767
239	1503	4760
240	1506	4745
241	1510	4730
242	1516	4724
243	1520	4712
244	1524	4698
245	1531	4693
246	1538	4689
247	1544	4682
248	1547	4666
249	1554	4662
250	1557	4647
251	1562	4638
252	1568	4630
253	1575	4626
254	1601	4679
255	1606	4670
256	1612	4661
257	1617	4651
258	1620	4636
259	1625	4627
260	1632	4623
261	1638	4614
262	1643	4604
263	1651	4604
264	1658	4598
265	1665	4596
266	1672	4590
267	1679	4588
268	1685	4581
269	1689	4566
270	1692	4553
271	1698	4545
272	1703	4536
273	1710	4530
274	1716	4524
275	1721	4516
276	1729	4513
277	1734	4504
278	1762	4553
279	1769	4550
280	1772	4536
281	1779	4531
282	1784	4522
283	1791	4517
284	1797	4508
285	1802	4500
286	1810	4496
287	1815	4488
288	1821	4481
289	1827	4475
290	1833	4466
291	1839	4459
292	1844	4450
293	1850	4442
294	1856	4436
295	1861	4427
296	1867	4419
297	1872	4411
298	1878	4403
299	1883	4395
300	1890	4389
301	1895	4380
302	1900	4372
303	1907	4367
304	1931	4401
305	1937	4394
306	1944	4388
307	1950	4383
308	1957	4376
309	1962	4367
310	1968	4360
311	1973	4351
312	1978	4343
313	1984	4335
314	1989	4326
315	1995	4318
316	2000	4310
317	2005	4301
318	2011	4293
319	2017	4287
320	2022	4277
321	2027	4269
322	2033	4262
323	2039	4254
324	2044	4246
325	2049	4237
326	2055	4230
327	2082	4266
328	2087	4257
329	2092	4248
330	2098	4240
331	2103	4232
332	2109	4224
333	2114	4217
334	2119	4208
335	2125	4199
336	2131	4192
337	2136	4184
338	2141	4175
339	2148	4170
340	2153	4161
341	2159	4154
342	2164	4146
343	2170	4138
344	2175	4130
345	2180	4121
346	2185	4113
347	2190	4104
348	2197	4098
349	2202	4090
350	2209	4085
351	2214	4077
352	2219	4068
353	2246	4099
354	2252	4091
355	2258	4085
356	2263	4076
357	2268	4068
358	2274	4061
359	2279	4053
360	2285	4044
361	2290	4037
362	2296	4029
363	2301	4021
364	2307	4014
365	2313	4007
366	2318	3998
367	2324	3992
368	2330	3984
369	2334	3975
370	2341	3969
371	2346	3960
372	2351	3952
373	2357	3945
374	2362	3938
375	2368	3930
376	2373	3923
377	2400	3950
378	2406	3943
379	2412	3935
380	2417	3927
381	2423	3920
382	2428	3912
383	2434	3904
384	2439	3896
385	2444	3888
386	2450	3881
387	2456	3875
388	2461	3866
389	2468	3860
390	2473	3852
391	2478	3844
392	2484	3837
393	2490	3830
394	2495	3822
395	2501	3815
396	2506	3806
397	2514	3803
398	2521	3797
399	2527	3791
400	2558	3821
401	2564	3814
402	2570	3807
403	2576	3801
404	2584	3796
405	2590	3790
406	2598	3785
407	2604	3778
408	2610	3771
409	2617	3765
410	2623	3759
411	2630	3754
412	2636	3747
413	2643	3742
414	2650	3736
415	2657	3730
416	2664	3725
417	2670	3718
418	2676	3711
419	2685	3707
420	2695	3707
421	2706	3707
422	2715	3704
423	2722	3698
424	2730	3693
425	2736	3686
426	2742	3680
427	2749	3673
428	2755	3667
429	2761	3661
430	2768	3654
431	2774	3647
432	2780	3640
433	2785	3632
434	2791	3625
435	2796	3617
436	2801	3609
437	2807	3602
438	2812	3594
439	2817	3586
440	2823	3578
441	2828	3570
442	2834	3563
443	2839	3556
444	2845	3548
445	2871	3567
446	2878	3560
447	2884	3554
448	2890	3547
449	2896	3540
450	2901	3531
451	2907	3524
452	2912	3517
453	2918	3509
454	2924	3502
455	2929	3494
456	2935	3487
457	2940	3480
458	2946	3472
459	2951	3464
460	2956	3457
461	2961	3449
462	2967	3442
463	2973	3434
464	2978	3426
465	2984	3419
466	2989	3412
467	2995	3404
468	3001	3397
469	3006	3390
470	3012	3382
471	3038	3398
472	3044	3391
473	3050	3384
474	3055	3377
475	3060	3369
476	3066	3362
477	3072	3355
478	3077	3347
479	3082	3339
480	3088	3332
481	3093	3324
482	3099	3317
483	3105	3310
484	3110	3302
485	3116	3296
486	3122	3289
487	3127	3281
488	3133	3274
489	3138	3267
490	3144	3259
491	3149	3252
492	3154	3244
493	3160	3237
494	3166	3230
495	3171	3222
496	3177	3215
497	3202	3228
498	3209	3222
499	3214	3214
500	3220	3207
501	3226	3200
502	3232	3193
503	3237	3186
504	3244	3179
505	3249	3172
506	3255	3165
507	3261	3158
508	3266	3150
509	3271	3143
510	3277	3136
511	3282	3129
512	3288	3121
513	3294	3115
514	3300	3107
515	3305	3100
516	3311	3094
517	3317	3087
518	3323	3080
519	3329	3073
520	3354	3083
521	3361	3078
522	3367	3070
523	3373	3064
524	3378	3057
525	3384	3049
526	3389	3042
527	3395	3035
528	3400	3027
529	3405	3020
530	3411	3012
531	3416	3005
532	3422	2998
533	3427	2991
534	3433	2983
535	3440	2977
536	3445	2970
537	3451	2963
538	3456	2956
539	3462	2949
540	3467	2941
541	3472	2934
542	3478	2927
543	3484	2920
544	3489	2913
545	3495	2906
546	3520	2915
547	3527	2909
548	3533	2902
549	3538	2895
550	3543	2887
551	3550	2881
552	3555	2874
553	3561	2866
554	3567	2860
555	3572	2853
556	3578	2845
557	3584	2838
558	3589	2832
559	3595	2824
560	3600	2817
561	3606	2810
562	3611	2803
563	3618	2797
564	3623	2789
565	3628	2782
566	3634	2775
567	3640	2768
568	3645	2761
569	3651	2754
570	3656	2747
571	3661	2740
572	3686	2747
573	3695	2742
574	3700	2735
575	3706	2728
576	3711	2721
577	3717	2713
578	3722	2706
579	3727	2699
580	3733	2692
581	3738	2684
582	3747	2680
583	3753	2673
584	3761	2668
585	3767	2661
586	3773	2655
587	3780	2649
588	3787	2642
589	3793	2636
590	3800	2629
591	3806	2623
592	3813	2617
593	3820	2611
594	3827	2605
595	3852	2611
596	3862	2607
597	3868	2600
598	3875	2594
599	3881	2587
600	3888	2581
601	3896	2575
602	3902	2569
603	3908	2562
604	3915	2556
605	3921	2549
606	3927	2543
607	3933	2536
608	3940	2530
609	3947	2523
610	3953	2517
611	3960	2510
612	3966	2504
613	3973	2498
614	3979	2491
615	3985	2484
616	3990	2477
617	3995	2469
618	4001	2462
619	4028	2469
620	4034	2462
621	4039	2455
622	4045	2447
623	4050	2440
624	4056	2433
625	4061	2426
626	4067	2419
627	4072	2412
628	4077	2405
629	4083	2398
630	4089	2391
631	4094	2383
632	4099	2376
633	4104	2369
634	4110	2362
635	4116	2356
636	4121	2348
